Альфалот|http://www.alfalot.ru|Союз Торговых Электронных Площадок|06.10.2016|(н/д)|"ООО '"Аукционы Федерации'""|450059, Республика Башкортостан, г. Уфа, ул. Рихарда Зорге, д.9, корп.6|0278184720|1110280063563|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=e86a53fe-530a-49ce-82be-c0a27cfcef86
АО «Сбербанк-АСТ»|http://utp.sberbank-ast.ru/Bankruptcy/|"Ассоциация операторов электронных площадок '"Профессионалы электронного рынка'""|30.11.2016|(н/д)|АО «Сбербанк-АСТ»|119435, г. Москва, пер. Большой Саввинский, д. 12, стр. 9, эт. 1, пом I, комн. 2|7707308480|1027707000441|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=56b87e42-8f93-48ec-b8f8-2a43f15aadd0
Аукцион-центр|http://www.aukcioncenter.ru|Союз Торговых Электронных Площадок|01.11.2016|(н/д)|Общество с ограниченной ответственностью «ИстКонсалтингГрупп»|664050, г. Иркутск, ул. Байкальская, д. 295/13, помещение 4|3811105176|1063811058277|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=afec4027-614b-4c93-acab-7361d27c18e8
Аукционы Дальнего Востока|http://www.torgidv.ru|Союз Торговых Электронных Площадок|17.07.2017|(н/д)|"ООО '"Аукционы Дальнего Востока'""|683003, Камчатский край, город Петропавловск-Камчатский, ул.Ленинградская, д.33 а, офис 700|4101144616|1114101002465|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=756e8d1f-df12-42b2-95ce-f59a9552fb70
Балтийская электронная площадка|http://www.bepspb.ru/|Союз Операторов Электронных Площадок|11.11.2016|(н/д)|"ООО '"Балтийская электронная площадка'""|196084, г. Санкт-Петербург, Московский пр., д. 111, лит. А, пом. 10-Н|7810596232|1107847236023|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=7f76d14a-8f30-4249-8cb0-d2113ba3edcf
Бизнес-Групп|http://bg-tender.ru/|Не включена в СРО ЭТП|(н/д)|(н/д)|"ООО '"Бизнес-Групп'""|446000, Россия, Самарская область, г. Самара, ул. Красноармейская, д.1|6311082656|1066311010941|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=14677b91-2b8c-4c48-a589-cbeb22e98a93
Межрегиональная Электронная Торговая Площадка|http://www.m-etp.ru|Не включена в СРО ЭТП|(н/д)|(н/д)|ООО «Юрист»|392000, г. Тамбов, ул. Студенецкая, д.20|6833022698|1036894112969|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=a909352f-76d8-43f7-a077-5bb2516cc334
Межрегиональная Электронная Торговая Система|http://www.m-ets.ru|"Ассоциация операторов электронных площадок '"Профессионалы электронного рынка'""|22.11.2016|(н/д)|ООО «МЭТС»|302030, г. Орел, ул. Новосильская, д. 11. пом. 4|5751039346|1105742000858|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=b4678e72-9b73-4a28-9f5f-0aeb7e46943e
Межрегиональный Тендер|http://mts-etp.ru|Не включена в СРО ЭТП|(н/д)|(н/д)|"Общество с ограниченной ответственностью '"Межрегиональный Тендер'""|140090, Московская обл., г. Дзержинский, ул. Лесная, д. 6, пом.13|7701979531|1127747177821|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=b070063c-8c53-4e39-a908-98e37de03285
МЕТА-ИНВЕСТ|http://www.meta-invest.ru|"Ассоциация операторов электронных площадок '"Профессионалы электронного рынка'""|22.11.2016|(н/д)|"ОАО '"ИК'"МЕТА'" "|129323, г.Москва, ул.Снежная, дом 23 |7716572717|5077746330800|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=ac273871-23ba-41db-8f16-88dc09283773
Объединенная Торговая Площадка|http://utpl.ru|Союз Операторов Электронных Площадок|11.11.2016|(н/д)|"Акционерное Общество  '"Объединенная Торговая Площадка'""|117105, г. Москва, Варшавское шоссе, дом 1, стр 1-2 офис 52 |7727752172|1117746444463|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=8ab719a2-4fe3-49ad-a08e-22d8ebc0a941
ООО «Специализированная организация по проведению торгов – Южная Электронная Торговая Площадка»|https://torgibankrot.ru|Союз Операторов Электронных Площадок|11.11.2016|(н/д)|ООО «Специализированная организация по проведению торгов – Южная Электронная Торговая Площадка»| 400131, г. Волгоград, ул. Набережная 62-й Армии, 6|3444181058|1103444006302|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=7f5c42f4-c51f-4916-a999-32ddf65383b5
РИД|http://ridtorg.ru|Не включена в СРО ЭТП|(н/д)|(н/д)|ООО «РИД»|105066, Москва г, Доброслободская ул, дом № 19|7701889422|1107746726471|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=bca1be09-c78d-4147-aa52-869fe8f80950
Российский аукционный дом|http://www.lot-online.ru|"Ассоциация операторов электронных площадок '"Профессионалы электронного рынка'""|22.11.2016|(н/д)|"ОАО '"Российский аукционный дом'""|190000 , Россия, Санкт-Петербург, переулок Гривцова, дом 5, л. В|7838430413|1097847233351|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=1e2f497e-98ac-4350-ad9e-5a8bd841615d
